images,seg,bboxes
20180810142822_camera_frontcenter_000000179.png,20180810142822_label_frontcenter_000000179.png,20180810142822_label3D_frontcenter_000000179.txt
20180810142822_camera_frontcenter_000000192.png,20180810142822_label_frontcenter_000000192.png,20180810142822_label3D_frontcenter_000000192.txt
20180810142822_camera_frontcenter_000000282.png,20180810142822_label_frontcenter_000000282.png,20180810142822_label3D_frontcenter_000000282.txt
20180810142822_camera_frontcenter_000000289.png,20180810142822_label_frontcenter_000000289.png,20180810142822_label3D_frontcenter_000000289.txt
20180810142822_camera_frontcenter_000000425.png,20180810142822_label_frontcenter_000000425.png,20180810142822_label3D_frontcenter_000000425.txt
20180810142822_camera_frontcenter_000000426.png,20180810142822_label_frontcenter_000000426.png,20180810142822_label3D_frontcenter_000000426.txt
20180810142822_camera_frontcenter_000000500.png,20180810142822_label_frontcenter_000000500.png,20180810142822_label3D_frontcenter_000000500.txt
20180810142822_camera_frontcenter_000000524.png,20180810142822_label_frontcenter_000000524.png,20180810142822_label3D_frontcenter_000000524.txt
20180810142822_camera_frontcenter_000000664.png,20180810142822_label_frontcenter_000000664.png,20180810142822_label3D_frontcenter_000000664.txt
20180810142822_camera_frontcenter_000000911.png,20180810142822_label_frontcenter_000000911.png,20180810142822_label3D_frontcenter_000000911.txt
20180810142822_camera_frontcenter_000000918.png,20180810142822_label_frontcenter_000000918.png,20180810142822_label3D_frontcenter_000000918.txt
20180810142822_camera_frontcenter_000000984.png,20180810142822_label_frontcenter_000000984.png,20180810142822_label3D_frontcenter_000000984.txt
20180810142822_camera_frontcenter_000000985.png,20180810142822_label_frontcenter_000000985.png,20180810142822_label3D_frontcenter_000000985.txt
20180810142822_camera_frontcenter_000001180.png,20180810142822_label_frontcenter_000001180.png,20180810142822_label3D_frontcenter_000001180.txt
20180810142822_camera_frontcenter_000001355.png,20180810142822_label_frontcenter_000001355.png,20180810142822_label3D_frontcenter_000001355.txt
20180810142822_camera_frontcenter_000001392.png,20180810142822_label_frontcenter_000001392.png,20180810142822_label3D_frontcenter_000001392.txt
20180810142822_camera_frontcenter_000001794.png,20180810142822_label_frontcenter_000001794.png,20180810142822_label3D_frontcenter_000001794.txt
20180810142822_camera_frontcenter_000002111.png,20180810142822_label_frontcenter_000002111.png,20180810142822_label3D_frontcenter_000002111.txt
20180810142822_camera_frontcenter_000002432.png,20180810142822_label_frontcenter_000002432.png,20180810142822_label3D_frontcenter_000002432.txt
20180810142822_camera_frontcenter_000002567.png,20180810142822_label_frontcenter_000002567.png,20180810142822_label3D_frontcenter_000002567.txt
20180810142822_camera_frontcenter_000002574.png,20180810142822_label_frontcenter_000002574.png,20180810142822_label3D_frontcenter_000002574.txt
20180810142822_camera_frontcenter_000002737.png,20180810142822_label_frontcenter_000002737.png,20180810142822_label3D_frontcenter_000002737.txt
20180810142822_camera_frontcenter_000002971.png,20180810142822_label_frontcenter_000002971.png,20180810142822_label3D_frontcenter_000002971.txt
20180810142822_camera_frontcenter_000003159.png,20180810142822_label_frontcenter_000003159.png,20180810142822_label3D_frontcenter_000003159.txt
20180810142822_camera_frontcenter_000003602.png,20180810142822_label_frontcenter_000003602.png,20180810142822_label3D_frontcenter_000003602.txt
20180810142822_camera_frontcenter_000003662.png,20180810142822_label_frontcenter_000003662.png,20180810142822_label3D_frontcenter_000003662.txt
20180810142822_camera_frontcenter_000003837.png,20180810142822_label_frontcenter_000003837.png,20180810142822_label3D_frontcenter_000003837.txt
20180810142822_camera_frontcenter_000003841.png,20180810142822_label_frontcenter_000003841.png,20180810142822_label3D_frontcenter_000003841.txt
20180810142822_camera_frontcenter_000004611.png,20180810142822_label_frontcenter_000004611.png,20180810142822_label3D_frontcenter_000004611.txt
20180810142822_camera_frontcenter_000004865.png,20180810142822_label_frontcenter_000004865.png,20180810142822_label3D_frontcenter_000004865.txt
20180810142822_camera_frontcenter_000004871.png,20180810142822_label_frontcenter_000004871.png,20180810142822_label3D_frontcenter_000004871.txt
20180810142822_camera_frontcenter_000005349.png,20180810142822_label_frontcenter_000005349.png,20180810142822_label3D_frontcenter_000005349.txt
20180810142822_camera_frontcenter_000006258.png,20180810142822_label_frontcenter_000006258.png,20180810142822_label3D_frontcenter_000006258.txt
20180810142822_camera_frontcenter_000006291.png,20180810142822_label_frontcenter_000006291.png,20180810142822_label3D_frontcenter_000006291.txt
20180810142822_camera_frontcenter_000006390.png,20180810142822_label_frontcenter_000006390.png,20180810142822_label3D_frontcenter_000006390.txt
20180810142822_camera_frontcenter_000006597.png,20180810142822_label_frontcenter_000006597.png,20180810142822_label3D_frontcenter_000006597.txt
20180810142822_camera_frontcenter_000006655.png,20180810142822_label_frontcenter_000006655.png,20180810142822_label3D_frontcenter_000006655.txt
20180810142822_camera_frontcenter_000006658.png,20180810142822_label_frontcenter_000006658.png,20180810142822_label3D_frontcenter_000006658.txt
20180810142822_camera_frontcenter_000007235.png,20180810142822_label_frontcenter_000007235.png,20180810142822_label3D_frontcenter_000007235.txt
20180810142822_camera_frontcenter_000007324.png,20180810142822_label_frontcenter_000007324.png,20180810142822_label3D_frontcenter_000007324.txt
20180810142822_camera_frontcenter_000007367.png,20180810142822_label_frontcenter_000007367.png,20180810142822_label3D_frontcenter_000007367.txt
20180810142822_camera_frontcenter_000007497.png,20180810142822_label_frontcenter_000007497.png,20180810142822_label3D_frontcenter_000007497.txt
20180810142822_camera_frontcenter_000007501.png,20180810142822_label_frontcenter_000007501.png,20180810142822_label3D_frontcenter_000007501.txt
20180810142822_camera_frontcenter_000007587.png,20180810142822_label_frontcenter_000007587.png,20180810142822_label3D_frontcenter_000007587.txt
20180810142822_camera_frontcenter_000007677.png,20180810142822_label_frontcenter_000007677.png,20180810142822_label3D_frontcenter_000007677.txt
20180810142822_camera_frontcenter_000007998.png,20180810142822_label_frontcenter_000007998.png,20180810142822_label3D_frontcenter_000007998.txt
20180810142822_camera_frontcenter_000008022.png,20180810142822_label_frontcenter_000008022.png,20180810142822_label3D_frontcenter_000008022.txt
20180810142822_camera_frontcenter_000008282.png,20180810142822_label_frontcenter_000008282.png,20180810142822_label3D_frontcenter_000008282.txt
20180810142822_camera_frontcenter_000008444.png,20180810142822_label_frontcenter_000008444.png,20180810142822_label3D_frontcenter_000008444.txt
20180810142822_camera_frontcenter_000008485.png,20180810142822_label_frontcenter_000008485.png,20180810142822_label3D_frontcenter_000008485.txt
20180810142822_camera_frontcenter_000008511.png,20180810142822_label_frontcenter_000008511.png,20180810142822_label3D_frontcenter_000008511.txt
20180810142822_camera_frontcenter_000008542.png,20180810142822_label_frontcenter_000008542.png,20180810142822_label3D_frontcenter_000008542.txt
20180810142822_camera_frontcenter_000008546.png,20180810142822_label_frontcenter_000008546.png,20180810142822_label3D_frontcenter_000008546.txt
20180810142822_camera_frontcenter_000008895.png,20180810142822_label_frontcenter_000008895.png,20180810142822_label3D_frontcenter_000008895.txt
20180810142822_camera_frontcenter_000008946.png,20180810142822_label_frontcenter_000008946.png,20180810142822_label3D_frontcenter_000008946.txt
20180810142822_camera_frontcenter_000009474.png,20180810142822_label_frontcenter_000009474.png,20180810142822_label3D_frontcenter_000009474.txt
20180810142822_camera_frontcenter_000009525.png,20180810142822_label_frontcenter_000009525.png,20180810142822_label3D_frontcenter_000009525.txt
20180810142822_camera_frontcenter_000009668.png,20180810142822_label_frontcenter_000009668.png,20180810142822_label3D_frontcenter_000009668.txt
20180810142822_camera_frontcenter_000009670.png,20180810142822_label_frontcenter_000009670.png,20180810142822_label3D_frontcenter_000009670.txt
20180810142822_camera_frontcenter_000009671.png,20180810142822_label_frontcenter_000009671.png,20180810142822_label3D_frontcenter_000009671.txt
20180810142822_camera_frontcenter_000009798.png,20180810142822_label_frontcenter_000009798.png,20180810142822_label3D_frontcenter_000009798.txt
20180810142822_camera_frontcenter_000009839.png,20180810142822_label_frontcenter_000009839.png,20180810142822_label3D_frontcenter_000009839.txt
20180810142822_camera_frontcenter_000009853.png,20180810142822_label_frontcenter_000009853.png,20180810142822_label3D_frontcenter_000009853.txt
20180810142822_camera_frontcenter_000009944.png,20180810142822_label_frontcenter_000009944.png,20180810142822_label3D_frontcenter_000009944.txt
20180810142822_camera_frontcenter_000009985.png,20180810142822_label_frontcenter_000009985.png,20180810142822_label3D_frontcenter_000009985.txt
20180810142822_camera_frontcenter_000010011.png,20180810142822_label_frontcenter_000010011.png,20180810142822_label3D_frontcenter_000010011.txt
20180810142822_camera_frontcenter_000010014.png,20180810142822_label_frontcenter_000010014.png,20180810142822_label3D_frontcenter_000010014.txt
20180810142822_camera_frontcenter_000010295.png,20180810142822_label_frontcenter_000010295.png,20180810142822_label3D_frontcenter_000010295.txt
20180810142822_camera_frontcenter_000010461.png,20180810142822_label_frontcenter_000010461.png,20180810142822_label3D_frontcenter_000010461.txt
20180810142822_camera_frontcenter_000010521.png,20180810142822_label_frontcenter_000010521.png,20180810142822_label3D_frontcenter_000010521.txt
